Rolls,Payoff
0,0
5,12
10,21
15,63
20,23
25,3
30,5
35,12
40,0
45,80
50,56
55,12
60,149
65,55
70,15
75,27
80,0
85,28
90,14
95,8
100,77
105,37
110,0
115,6
120,12
125,0
130,2
135,58
140,71
145,6
150,52
155,37
160,133
165,5
170,0
175,14
180,0
185,38
190,185
195,19
200,23
205,33
210,23
215,23
220,61
225,141
230,65
235,8
240,14
245,7
250,63
255,162
260,53
265,3
270,63
275,12
280,65
285,56
290,5
295,51
300,20
305,0
310,3
315,89
320,50
325,85
330,76
335,31
340,11
345,31
350,37
355,10
360,21
365,0
370,19
375,218
380,7
385,6
390,90
395,21
400,29
405,34
410,6
415,53
420,13
425,73
430,340
435,0
440,47
445,21
450,29
455,40
460,34
465,15
470,308
475,14
480,8
485,76
490,6
495,65
500,51
505,0
510,34
515,117
520,28
525,60
530,0
535,6
540,77
545,55
550,3
555,21
560,80
565,14
570,2
575,53
580,0
585,214
590,28
595,32
600,139
605,0
610,5
615,206
620,38
625,37
630,7
635,157
640,31
645,20
650,41
655,68
660,77
665,266
670,19
675,33
680,94
685,3
690,43
695,114
700,6
705,5
710,74
715,0
720,84
725,48
730,23
735,40
740,7
745,112
750,95
755,14
760,83
765,45
770,0
775,10
780,12
785,0
790,98
795,268
800,11
805,24
810,185
815,120
820,39
825,92
830,0
835,0
840,19
845,0
850,38
855,17
860,14
865,0
870,21
875,6
880,45
885,72
890,6
895,46
900,0
905,6
910,29
915,109
920,0
925,85
930,126
935,13
940,34
945,13
950,161
955,12
960,10
965,0
970,12
975,3
980,6
985,2
990,193
995,3
1000,0
1005,32
1010,23
1015,78
1020,15
1025,5
1030,0
1035,54
1040,21
1045,7
1050,40
1055,0
1060,71
1065,14
1070,66
1075,11
1080,0
1085,92
1090,12
1095,0
1100,12
1105,23
1110,11
1115,10
1120,72
1125,53
1130,5
1135,28
1140,29
1145,10
1150,21
1155,69
1160,50
1165,31
1170,396
1175,0
1180,7
1185,34
1190,0
1195,0
1200,7
1205,0
1210,58
1215,0
1220,7
1225,20
1230,6
1235,0
1240,12
1245,216
1250,42
1255,10
1260,0
1265,178
1270,7
1275,172
1280,6
1285,3
1290,0
1295,58
1300,7
1305,34
1310,17
1315,118
1320,329
1325,99
1330,113
1335,31
1340,27
1345,0
1350,22
1355,0
1360,38
1365,11
1370,32
1375,8
1380,89
1385,199
1390,14
1395,77
1400,2
1405,77
1410,255
1415,8
1420,80
1425,131
1430,17
1435,21
1440,5
1445,71
1450,20
1455,84
1460,34
1465,0
1470,308
1475,98
1480,58
1485,12
1490,30
1495,41
1500,55
1505,22
1510,45
1515,24
1520,45
1525,17
1530,73
1535,27
1540,5
1545,72
1550,17
1555,55
1560,18
1565,27
1570,43
1575,0
1580,56
1585,82
1590,252
1595,103
1600,12
1605,184
1610,24
1615,23
1620,50
1625,21
1630,0
1635,3
1640,20
1645,3
1650,55
1655,133
1660,119
1665,52
1670,48
1675,0
1680,27
1685,15
1690,5
1695,14
1700,82
1705,45
1710,21
1715,11
1720,5
1725,6
1730,0
1735,981
1740,164
1745,61
1750,166
1755,3
1760,47
1765,12
1770,191
1775,15
1780,8
1785,6
1790,2
1795,170
1800,12
1805,98
1810,33
1815,728
1820,298
1825,63
1830,178
1835,0
1840,18
1845,30
1850,104
1855,20
1860,10
1865,0
1870,0
1875,0
1880,15
1885,18
1890,3
1895,44
1900,0
1905,205
1910,194
1915,44
1920,72
1925,130
1930,29
1935,0
1940,32
1945,0
1950,0
1955,6
1960,126
1965,54
1970,26
1975,158
1980,0
1985,58
1990,80
1995,39
2000,120
2005,73
2010,75
2015,7
2020,8
2025,30
2030,19
2035,0
2040,133
2045,40
2050,23
2055,15
2060,5
2065,22
2070,6
2075,6
2080,236
2085,11
2090,22
2095,27
2100,14
2105,73
2110,109
2115,62
2120,7
2125,0
2130,6
2135,0
2140,5
2145,6
2150,71
2155,5
2160,29
2165,12
2170,42
2175,23
2180,5
2185,0
2190,13
2195,54
2200,151
2205,60
2210,7
2215,22
2220,21
2225,43
2230,34
2235,8
2240,17
2245,23
2250,14
2255,13
2260,0
2265,8
2270,32
2275,20
2280,5
2285,2
2290,59
2295,0
2300,0
2305,2
2310,38
2315,67
2320,20
2325,2
2330,0
2335,17
2340,3
2345,5
2350,24
2355,62
2360,24
2365,19
2370,221
2375,102
2380,322
2385,101
2390,5
2395,52
2400,57
2405,62
2410,135
2415,2
2420,0
2425,112
2430,151
2435,321
2440,0
2445,26
2450,34
2455,3
2460,13
2465,8
2470,82
2475,159
2480,0
2485,19
2490,3
2495,2
2500,10
2505,7
2510,58
2515,26
2520,40
2525,3
2530,105
2535,113
2540,0
2545,168
2550,10
2555,39
2560,66
2565,34
2570,0
2575,7
2580,97
2585,0
2590,45
2595,18
2600,11
2605,55
2610,154
2615,8
2620,0
2625,183
2630,87
2635,13
2640,14
2645,199
2650,2
2655,29
2660,10
2665,96
2670,75
2675,0
2680,13
2685,8
2690,19
2695,40
2700,299
2705,10
2710,0
2715,98
2720,2
2725,17
2730,70
2735,51
2740,0
2745,176
2750,382
2755,20
2760,18
2765,3
2770,8
2775,0
2780,6
2785,6
2790,0
2795,11
2800,2
2805,15
2810,15
2815,28
2820,17
2825,3
2830,57
2835,137
2840,24
2845,21
2850,1096
2855,17
2860,0
2865,68
2870,0
2875,0
2880,39
2885,155
2890,2
2895,34
2900,217
2905,77
2910,125
2915,20
2920,0
2925,24
2930,19
2935,18
2940,111
2945,22
2950,96
2955,66
2960,14
2965,0
2970,13
2975,198
2980,41
2985,0
2990,53
2995,51
3000,129
3005,0
3010,65
3015,17
3020,105
3025,0
3030,47
3035,63
3040,0
3045,29
3050,105
3055,0
3060,0
3065,70
3070,5
3075,239
3080,26
3085,242
3090,11
3095,0
3100,99
3105,3
3110,43
3115,0
3120,6
3125,174
3130,31
3135,19
3140,19
3145,347
3150,40
3155,51
3160,6
3165,0
3170,10
3175,5
3180,5
3185,28
3190,181
3195,61
3200,94
3205,94
3210,19
3215,0
3220,18
3225,116
3230,0
3235,0
3240,7
3245,47
3250,93
3255,95
3260,0
3265,42
3270,427
3275,314
3280,40
3285,0
3290,7
3295,13
3300,0
3305,112
3310,0
3315,15
3320,101
3325,8
3330,99
3335,48
3340,173
3345,89
3350,2
3355,7
3360,58
3365,0
3370,17
3375,2
3380,35
3385,105
3390,106
3395,19
3400,34
3405,142
3410,28
3415,0
3420,10
3425,5
3430,94
3435,697
3440,3
3445,15
3450,172
3455,13
3460,14
3465,18
3470,15
3475,17
3480,6
3485,0
3490,5
3495,23
3500,21
3505,46
3510,7
3515,15
3520,32
3525,290
3530,338
3535,10
3540,11
3545,56
3550,7
3555,48
3560,0
3565,20
3570,54
3575,0
3580,5
3585,41
3590,2
3595,20
3600,28
3605,7
3610,48
3615,160
3620,162
3625,0
3630,23
3635,52
3640,27
3645,0
3650,0
3655,20
3660,10
3665,421
3670,0
3675,0
3680,40
3685,86
